Model,F1 Score,Precision,Recall,Accuracy,AUC Score,Params,Type,Balanced Score
LGBMClassifier,0.839482511,0.756966948,0.94218876,0.742555235,0.592561406,Default,Lazy,0.716021958
AdaBoostClassifier,0.841993135,0.752008457,0.956439903,0.74351585,0.583536237,Default,Lazy,0.712764686
XGBClassifier,0.826364978,0.761386812,0.903468674,0.728722382,0.597427473,Default,Lazy,0.711896225
LinearDiscriminantAnalysis,0.843455744,0.750052334,0.96343103,0.744476465,0.579965851,Default,Lazy,0.711710798
LinearSVC,0.845686229,0.748086867,0.972573272,0.746397695,0.576461603,Default,Lazy,0.711073916
RidgeClassifier,0.845416277,0.747982619,0.972035493,0.746013449,0.576192713,Default,Lazy,0.710804495
RidgeClassifierCV,0.845416277,0.747982619,0.972035493,0.746013449,0.576192713,Default,Lazy,0.710804495
LogisticRegression,0.842167256,0.749318801,0.961279914,0.742555235,0.578217346,Default,Lazy,0.710192301
CalibratedClassifierCV,0.843845252,0.748077323,0.967733262,0.744092219,0.57606044,Default,Lazy,0.709952846
SVC,0.843844543,0.743794872,0.974993278,0.742170989,0.567240919,Default,Lazy,0.705542731
RandomForestClassifier,0.83181382,0.750920511,0.932239849,0.730643612,0.579175106,Default,Lazy,0.705494463
NuSVC,0.83239622,0.749784483,0.935466523,0.730835735,0.577087232,Default,Lazy,0.704741726
SGDClassifier,0.843280977,0.743232158,0.974455499,0.741210375,0.565962608,Default,Lazy,0.704621793
ExtraTreesClassifier,0.824559271,0.752552153,0.911804248,0.722766571,0.580733887,Default,Lazy,0.702646579
QuadraticDiscriminantAnalysis,0.777214514,0.771247021,0.783275074,0.679154659,0.600924213,Default,Lazy,0.689069364
KNeighborsClassifier,0.80279446,0.737612613,0.880613068,0.690874159,0.548314609,Default,Lazy,0.675554535
BaggingClassifier,0.77128151,0.757387247,0.785695079,0.667050913,0.577908105,Default,Lazy,0.674594807
GaussianNB,0.760075228,0.759463087,0.760688357,0.656868396,0.578863694,Default,Lazy,0.669469461
DummyClassifier,0.833482743,0.714505283,1,0.714505283,0.5,Default,Lazy,0.666741372
BernoulliNB,0.714450534,0.770451011,0.666039258,0.619596542,0.584701998,Default,Lazy,0.649576266
DecisionTreeClassifier,0.730355666,0.749363508,0.71228825,0.624207493,0.558028378,Default,Lazy,0.644192022
PassiveAggressiveClassifier,0.747217806,0.736484722,0.758268352,0.633429395,0.539632157,Default,Lazy,0.643424982
LabelSpreading,0.72957172,0.73789879,0.721430492,0.617867435,0.540055757,Default,Lazy,0.634813739
LabelPropagation,0.729226166,0.73775454,0.720892713,0.617483189,0.539786868,Default,Lazy,0.634506517
ExtraTreeClassifier,0.70548428,0.741553053,0.672761495,0.598655139,0.542975633,Default,Lazy,0.624229957
Perceptron,0.699776786,0.727167295,0.674374832,0.586551393,0.520565612,Default,Lazy,0.610171199
NearestCentroid,0.579695258,0.797832234,0.455229901,0.528338136,0.583267709,Default,Lazy,0.581481484
